title,original_title,year,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote
Ecco,Ecco,2019,"Crime, Drama, Thriller",123,USA,English,Ben Medina,"Ben Medina, Ben Medina",Citadel Film Group,"Lathrop Walker, Tabitha Bastien, Helena Grace Donald, Michael Winters, Vincent Cardinale, Bruce Weech, Obren Milanovic, S. Joe Downing, Alix Angelis, Mark Sehlbach, T. Ivan Winkler, Mahria Zook, Jon King, Michael Place, Joe McCarthy",A former assassin living a new life in the shadows with his family emerges from hiding to discover the origin of his lethal beginnings.,4.8
Psycho-Pass: Sinners of the System Case.1 Crime and Punishment,Psycho-Pass: Sinners of the System Case.1 Crime and Punishment,2019,"Animation, Action, Crime",60,Japan,English,Naoyoshi Shiotani,Ryo Yoshigami,,"Kana Hanazawa, Sachie Hirai, Shizuka Itô, Rikiya Koyama, Keiichi Nakagawa, Kenji Nojima, Hiroe Oka, Kimiko Saitô, Ayane Sakura, Takahiro Sakurai, Miyuki Sawashiro, Youhei Tadano, Hiroki Touchi, Saori Yumiba","A runaway vehicle crashes into the Public Safety Bureau Building. The driver is identified as Izumi Yasaka, a psychological counselor at the Sanctuary, a Latent Criminal Isolation Facility ...",6.6
Romang,Romang,2019,"Drama, Romance",112,South Korea,English,Chang-Geun Lee,,,"Hae-Sun Bae, Yeong-suk Jeong, Seon-kyu Jin, Han-chul Jo, Soon-jae Lee, Ye-Won Lee","75 year old Jo Nam Bong and 71 year old Lee Mae Ja have dementia. They've been married for 45 years and they are alike in all ways, mentally and physically. Now they live like they are the ...",7.4
Black Christmas,Black Christmas,2019,"Horror, Mystery, Thriller",92,"USA, New Zealand",English,Sophia Takal,"Sophia Takal, April Wolfe",Universal Pictures,"Imogen Poots, Aleyse Shannon, Lily Donoghue, Brittany O'Grady, Caleb Eberhardt, Cary Elwes, Simon Mead, Madeleine Adams, Nathalie Morris, Ben Black, Zoë Robins, Ryan McIntyre, Mark Neilson, Lucy Currey, Jonny McBride",A group of female students are stalked by a stranger during their Christmas break. That is until the young sorority pledges discover that the killer is part of an underground college conspiracy.,3.2
Stalked,Stalked,2019,"Action, Horror",82,UK,English,Justin Edgar,Justin Edgar,104 Films,"Nathalie Buscombe, Billy Cooke, Vanessa Donovan, Amber Edgar, Imogen Irving, Rebecca Rogers, Laurence Saunders, Ian Sharp, Stephen Uppal",A young woman wakes up in a deserted factory where she is hunted by an invisible force.,2.6
Annabellum: The Curse of Salem,Annabellum: The Curse of Salem,2019,"Mystery, Thriller",76,UK,English,Craig Rees,Carl Rees,Tower Bridge Films,"Liam Clarke, Andrew James Mead, Chris Millward, Monique Todd, Ashleigh McCallion, Wass Javed, Callum James, Craig Rees, Penny Rann",In the form of an old doll a vengeful witches curse from 1692 Salem is released upon a family trapped in a historic English mansion.,2.5
K-12,K-12,2019,"Fantasy, Horror, Musical",96,USA,English,"Melanie Martinez, Alissa Torvinen",Melanie Martinez,Atlantic Records,"Melanie Martinez, Emma Harvey, Megan Gage, Maggie Budzyna, Adrian Jurics, Gergely Kiss, Natalia Toth, Tamas Gog, Robert Szabolcs, Bence Balogh, Vilmos Heim, Alissa Torvinen, Anne Wittman, Joel Francis-Williams, Toby Eddington",A brave-hearted girl and her charming best friend make a bewitching pair as they embark on a mission to take down the oppressive schooling system of K-12.,6.3
Zombie Tidal Wave,Zombie Tidal Wave,2019,"Action, Adventure, Comedy",86,USA,English,Anthony C. Ferrante,"Ian Ziering, Thunder Levin",Imprint Entertainment,"Ian Ziering, Erich Chikashi Linzbichler, Shelton Jolivette, Cheree Cassidy, Tatum Chiniquy, Angie Teodora Dick, Randy Charach, Eliza Matengu, Lincoln Bevers, Will Jay, Natasha Hardegen, Dennis James Martin, Kenneth Won, AnnMarie Giaquinto, Jaroslav Shvets",A fisherman contends with an ocean-borne outbreak that threatens his seaside island community.,4.5
A Brother's Honor,A Brother's Honor,2019,Romance,86,USA,English,Lane Shefter Bishop,"Kelly Goodner, Brenda Jackson",Passionflix,"Jeremy Batiste, Celestine Rae, Michael Marcel, Robert Christopher Riley, Raushanah Simmons, Jasmine B. Johnson, Ricco Ross, Jon Prescott, Afemo Omilami, Tom Wright, Liz Benoit, Amanda Tavarez, Gloria Hendry, Thomas Hobson, Kalilah Harris","3 brothers are reunited after their grandfather suffers a heart attack. The Granger men, Jace, Caden and Dalton promise their dying grandfather that they will work together to save the ...",5.6
The Deeper You Dig,The Deeper You Dig,2019,"Drama, Horror",95,USA,English,"John Adams, Toby Poser","John Adams, Toby Poser",Wonder Wheel Productions,"John Adams, Toby Poser, Zelda Adams, Shawn Wilson, Joan Poser, Mike Childs, Izzy Figueredo, Inderpreet Singh Khangura, Bob Lane, Milli Lupinetti, Rick Miller, Frank Wood","In the aftermath of a roadside accident, the line between the living and the dead collapses for a mother, a daughter and a stranger.",5.1
Mister America,Mister America,2019,Comedy,89,USA,English,Eric Notarnicola,"Tim Heidecker, Eric Notarnicola",Abso Lutely,"Tim Heidecker, Gregg Turkington, Terri Parks, Curtis Webster, Don Pecchia, Manuel Giusti, Ndidi Amadi, Sarah Sherman, Corey Landis, Michael Diliberto, Joe Estevez, James Mane Jr., Melinda McColgan, Jesse Popp, Mark Proksch","After representing himself and beating a murder charge, a concert promoter runs for the San Bernardino District Attorney's office against the prosecutor of his case.",6.5
Return to Horror Hotel,Return to Horror Hotel,2019,"Horror, Sci-Fi",83,USA,English,"Ricky Hess, Brandon Thaxton",Al Hess,Horror Hotel,"Baby Norman, J Michael Grey, R.C. Sayyah, Stephanie Stevens, James Edward Thomas, Ann Marie Gideon, Katrina Rarick, Jason Will Gaglione, Tony Folden, Montrel Miller, Jenny Hall, Darien Johnson, Candi VandiZandi, Nathan T. Evans, Haji Abdullah","Return to Horror Hotel is an anthology feature with 4 segments. One is about giant a bedbugs, one is about a magical charm that turns girls beautiful, one is about a WWII sailor who hasn't aged and one is about a terrorizing severed hand.",4.1
Urban Fears,Urban Fears,2019,"Comedy, Horror",70,USA,English,Nicholas Michael Jacobs,Nicholas Michael Jacobs,,"Alexis Beacher, Brian Jacobs, Christian Jacobs, Gianna Jacobs, Jayla Jacobs, Nicholas Michael Jacobs, Shawn C. Phillips, Erisa Pikuli","Most horror stories take place in suburban areas, but these three teenagers are about to realize that those are not the only places where these things happen.",4.7
Empty Spaces,Empty Spaces,2019,Drama,104,USA,English,Evan Snyder,"Evan Snyder, Ian Snyder",,"Mason Born, Tabita Johansson, Alan Snyder, Evan Snyder, Ian Snyder","After separating from his wife, a depressed alcoholic moves his unemployed brother in to help take care of his kids.",7.5
Space Ninjas,Space Ninjas,2019,Comedy,91,UK,English,Scott McQuaid,Scott McQuaid,,"Amirul Afiq Bin Amri, Miles Amundsen, Dirk Benedict, Jon T. Benn, Ed Chard, Razif Hashim, Godfrey Ho, Yi Jane, Nuha Jes, Jay Mago, Sudhab Nair, Brian Narelle, Mia Sara Shauki, Savira Sigit, Bryan Tiang",Detention becomes survival for five students trapped in a high school with Space Ninja assassins. This B movie comedy slash horror follows these misfit heroes trying to survive the night from an alien invasion.,3.7
Into the Void,Into the Void,2019,Mystery,84,Canada,English,Jordan Cantello,Jordan Cantello,Resonant Productions,"Ioan Sebastian Tirlui, Molly Dyson, Bill McNaughton, Cory Hawkes, Keegan Meyer, A.J. Birtwistle, Aleksandra Koel, Linley Subryan, Vaughan Winmill, Grant Vlahovic, Reg Rozee, Niko Kanaris, Petar Gatsby, Christina Lewall, Greg Russell Tiderington","An apocalypse survivor defies the colony to seek help for a sick ex-lover, encountering an outside world of desperate humans and ravenous zombies while being forced to confront a past that haunts him.",4.7
The Jack in the Box,The Jack in the Box,2019,Horror,87,UK,English,Lawrence Fowler,Lawrence Fowler,Fowler Media,"Ethan Taylor, Robert Nairne, Lucy-Jane Quinlan, Philip Ridout, Darrie Gardner, Charles Abomeli, Simon Balfour, Tom Carter, Vinnie Clarke, Stacey Lynn Crowe, William Frazer, Laura Janes, Lucy Proctor, Peter Rawlings, Kathleen Ray","When a vintage Jack-in-the-box is un-earthed and opened, it's new owners soon have reason to believe the creepy clown doll within has a life of it's own.",4
Hell House LLC III: Lake of Fire,Hell House LLC III: Lake of Fire,2019,Horror,85,USA,English,Stephen Cognetti,Stephen Cognetti,Cognetti Films,"Gabriel Chytry, Elizabeth Vermilyea, Sam Kazzi, Theodore Bouloukos, Brian David Tracy, Bridgid Abrams, Leo DeFriend, Jordan Kaplan, Danny Bellini, Ryan Jennifer Jones, Gore Abrams, Jared Hacker, Joe Bandelli, Scott Richey, Olivia Roldan","The Abaddon Hotel will once again be open to the public. Russell Wynn has taken his audience-interactive show, Insomnia, into the abandoned hotel that is rumored to be haunted.",5.7
Il dottore vi ucciderà subito,The Doctor Will Kill You Now,2019,"Drama, Thriller",90,USA,English,Rob Pallatina,"Ward Anderson, Marc Morgenstern",BondIt Media Capital,"Gina Vitori, Anthony Jensen, Matthew Pohlkamp, Kate Watson, Jolene Andersen, Arie Thompson, Philip Nathanael, Elizabeth J. Cron, Joel Berti, Nick Kubeck, Jonathan De Aquino, Morgan Sanders, Andrew Price, Sherrod Taylor, Bryan Kosluchar","After a skiing accident, Sarah's life is saved thanks to a brilliant surgeon, Dr. Vincent. But when Dr. Vincent mistakes Sara's gratitude for love, he becomes obsessed with her, determined to have her at any cost.",4
Giants Being Lonely,Giants Being Lonely,2019,"Drama, Sport",81,USA,English,Grear Patterson,"Grear Patterson, Grear Patterson",ROD3O,"Alejandro Castro Arias, Tal Chatterjee, Amalia Culp, Nancy Demorest, Gabe Fazio, Lily Gavin, Jack Irv, Ben Irving, Larry Miller, Stella Schnabel, Joey Thurmond","A pair of players on a successful high school baseball team, the Giants, come of age in the American South.",5.4
A Night of Horror: Nightmare Radio,A Night of Horror: Nightmare Radio,2019,"Horror, Mystery",100,"Argentina, New Zealand, UK",English,"Oliver Park, Jason Bognacki","Mauro Croche, Michael L. Fawcett",Black Mandala,"Patricia Arizmendi, Adrián Barriopedro, Claudia Beattie, Louisa Bland, David Breen, Gabriel Carrubba, Abbi Chally, Mellisa Chally, Stella Charrington, Rachel Clayton, Darcy Cornwallis, Ian Costello, Michelle Costello, Strange Dave, Ismael de las Heras","Rod, radio DJ, hosts a popular horror-themed show packed with tales of terror for eager listeners. When he receives alarming calls from a horrified child things start to feel off.",5.1
Metallica and San Francisco Symphony S&M2,Metallica & San Francisco Symphony - S&M2,2019,Music,150,USA,English,Wayne Isham,,Prime Zero Productions,"Edgar Barradas, Kirk Hammett, James Hetfield, Metallica, Robert Trujillo, Lars Ulrich",Metallica and the San Francisco Symphony perform a live concert together at Chase Center in San Francisco.,8.8
Texas Death Trippin',Texas Death Trippin',2019,"Comedy, Horror",62,USA,English,Robbie Lopez,Robbie Lopez,Crude Cinema,"Daisy Coleman, Cody Calderas, Bryan Slusher, Bartlett Benjamin, Jeffrey Homan, Paul Brune, Dakota Danger, Melesa Murphy, George Wang",A group of young adult stoners set out on a Roadtrip to a three day music festival.,2.3
Sacrifice,Sacrifice,2019,Thriller,76,USA,English,Chris Stokes,Chris Stokes,Footage Films,"Paula Patton, Juan Antonio, Erica Ash, Nelson Bonilla, Veronika Bozeman, Ross Britz, Michael Carollo, Ella Sophia Dumas, Rudy Eisenzopf, Chandler Estep, Josué Gutierrez, Lenita Harris, Gregory Hobson, Marques Houston, Roger Ivens",A entertainment lawyer navigates the nefarious lives of her rich and famous clients.,4.3
Christmas on the Range,Christmas on the Range,2019,"Romance, Western",90,USA,English,Gary Wheeler,"Torry Martin, Marshal Younger",Sydney Productions,"Erin Cahill, Nicholas Gonzalez, A Martinez, Lindsay Wagner, Dawntavia Bullard, Dash Pomerantz, Lance E. Nichols, Drew Waters, Daniel Williams-Lopez, Rebecca Koon, Tara Gulledge, Randy McDowell, Conor Church, Maddi Rose Church, Bill Edenfield",Kendall's one holiday wish is to keep the family ranch solvent. Her rival's charming son offers help-and maybe more-but can he be trusted?,5.9
The Beach House,The Beach House,2019,"Drama, Horror, Mystery",88,USA,English,Jeffrey A. Brown,Jeffrey A. Brown,Low Spark Films,"Liana Liberato, Noah Le Gros, Jake Weber, Maryann Nagel, Michael Brumfield, Matt Maisto, Steven Corkin, Dan Zakarija, Veronica Fellman",A romantic getaway for two troubled college sweethearts turns into a struggle for survival when unexpected guests - and the surrounding environment - exhibit signs of a mysterious infection.,5.4
The Small Hand,The Small Hand,2019,"Drama, Horror, Thriller",115,UK,English,Justin Molotnikov,Susan Hill,Awesome Media & Entertainment,"Douglas Henshall, Louise Lombard, Adrian Rawlins, Cal MacAninch, Paul Barber, Maryam Hamidi, Woody Norman, Neve McIntosh, Calum Caulfield, Billy Thomson, Andrew John Tait, Casper Knopf, Vafa Hamidi-Collins","An antique book dealer finds himself haunted by the ghost of a young boy, he decides to investigate the strange occurrences within his life.",4.3
The Brighton Miracle,The Brighton Miracle,2019,"Drama, Sport",82,Australia,English,Max Mannix,Max Mannix,Eastpool Films,"Temuera Morrison, Lasarus Ratuere, Sumire, Yûki Kudô, Masa Yamaguchi, Akira Matsumoto, Erich Chikashi Linzbichler, Yutaka Izumihara, Chris Bartholomew, Oscar Lin, Korey Williams, Rumi Kikuchi, Michael Hartcher, Zachary Boulton, Keiichi Enomoto","""Inspired by true events, the story begins with Japanese rugby officials dwelling on a humiliating anniversary, a 145-17 defeat by the New Zealand All Blacks in the 1995 World Cup. ...",7.7
A Beauty & The Beast Christmas,A Beauty & The Beast Christmas,2019,"Comedy, Drama, Romance",90,USA,English,Dylan Vox,Scotty Mullen,The Asylum,"Donna Mills, Leah Pipes, Ryan Kelley, Rob Raco, GloZell Green, Stephen Nichols, Carrie Keagan, Nikki Leigh, Holly Frazier, Teresa Ganzel, Willam Belli, Aiden Arnold, David Briner, Erin K Clark, Alex Elliott","Ginger Holiday, a social media influencer and the queen of Christmas, damages her face and stays off her social media account. She starts losing followers and is in danger of losing her ...",5.1
Rising Free,Rising Free,2019,"Drama, History",102,USA,English,Christian Johannesson,H.B. Johannesson,LightFall Motion Picture Group,"Samantha Droke, Melanie Foust, Bob Grove, Elias Kamplain, Stephan Lunsford","In late nineteenth-century America, Rising Free portrays the story of a young woman living in the aftermath of racial prejudice. Surrounded by danger of being sold and further stripped of ...",6.3
Dirty Sexy Saint,Dirty Sexy Saint,2019,"Drama, Romance",104,USA,English,Tosca Musk,"Joany Kane, Tosca Musk",,"Jordan Lane Price, David A. Gregory, Luke Guldan, Matt Magnusson, Jamie Choi, Alena Chinault, Steven Hauck, Brian Cade, Jim Thalman, Alejandra Rivera Flaviá, Jennifer Lopez, Chris Lamberth, Ceasar F. Barajas, Maia Guest, Brandon Damiano","Of all the bars in all of Chicago, she walks into his.",5.6
Crypsis,Crypsis,2019,Horror,81,USA,English,Paul Anthony Rogers,Paul Anthony Rogers,,"Eddie Nason, Anthony Hoang, Michael Armata, Paul Anthony Rogers, Taylor West, Adam Wolf Mayerson, JT Vancollie, Jordan Mitchell-Love, David Racki","A group of friends make a bet to see who can survive camping on an island for a night. Unbeknownst to them, a strange creature lurks throughout the night terrorizing their every move, and sound is their biggest enemy.",2.5
Paw Patrol Mighty Pups - Il film dei supercuccioli,"Paw Patrol: Ready, Race, Rescue!",2019,"Animation, Family",66,"Canada, USA",English,"Charles E. Bastien, Keith Chapman",Steven Sullivan,Guru,"Julius Cho, Anya Cooke, Cathal J. Dodd, Isaac Emberson-Heeks, Lukas Engel, Addison Holley, Kallan Holley, Caoimhe Judd, Joseph Motiki","The pups have built an awesome race track and are ready to be the pit crew for their race hero. But when the legendary racer is unable to drive, he calls on his biggest fan-pup Marshall to take the wheel and race in his place.",4.7
Inside the Rain,Inside the Rain,2019,"Comedy, Drama, Romance",90,USA,English,Aaron Fisher,Aaron Fisher,Act 13,"Rosie Perez, Eric Roberts, Aaron Fisher, Ellen Toland, Catherine Curtin, Paul Schulze, Donnell Rawlings, Rita Raider, Natalie Carter, Katie Claire McGrath, Jesse Means, Jaz Goodreau, Ryan Donowho, Kerri Sohn, Thom Niemann","Facing expulsion from college over a misunderstanding, a bipolar student indulges his misery at a strip club where he befriends a gorgeous, intelligent, outrageous woman and they hatch a madcap scheme to prove his innocence.",4.5
A Daughter's Plan To Kill,A Daughter's Plan To Kill,2019,Thriller,90,USA,English,Ian Niles,"Chanon Finley, Charlie Phoenix",,"Claire Coffee, Matt Dallas, Donald Dash, Lauren DiMario, Jabari Gray, Chandler Lovelle, Liam Obergfoll, Jordan Lane Price, Will Tomi","When Katie and Greg Carlyle invited Greg's estranged daughter to live with them, they had no idea that they would be inviting jealousy, violence, and deceit into their home to wreak havoc on their perfect life.",4.7
Beyond the Law - L'infiltrato,Beyond the Law,2019,"Action, Crime",89,USA,English,James Cullen Bressack,"Chad Law, Johnny Martin Walters",BondIt Media Capital,"Johnny Messner, Steven Seagal, DMX, Bill Cobbs, Zack Ward, Randy Charach, Patrick Kilpatrick, Chester Rushing, Saxon Sharbino, Kim DeLonghi, Jeff M Hill, Sean Kanan, Yulia Klass, Ken Garito, Jody Barton",A former mobster turned businessman and a police detective must contend with a dirty ex-cop looking to bring the killer of his son to justice.,4.3
Stanley Stanton,Stanley Stanton,2019,Drama,62,USA,English,Mars McCracken,Mars McCracken,,"Bruce McCracken, Wesley Baldwin, Eric Harris, Noah Tobias Nielsen, Edyn Ballard, Jim Ballard, Marianne Baskin, Sean Beste, Doug Brand, Suzanne Brodine, Jack Caldwell, Christopher Creveling, Quinn Thomas Graham, Alexandra Hart, Darren Johnson","Forced to watch flashbacks of his life, a pious man comes to the realization he's dead and on his way to hell. Inspired by a true event.",8.7
Solar Impact,Solar Impact,2019,"Horror, Sci-Fi",83,,English,,Simon Park,,"Grace Dixon, Oliver Goodwill, Polly Kilpatrick, Peter Knight, Gary Knowles, Natalie Martins, Oliver Park, Simon Riordan",Trying to stay alive after solar radiation disaster may not be as easy as it sounds.,3.2
The Final Level: Escaping Rancala,The Final Level: Escaping Rancala,2019,"Action, Adventure, Fantasy",87,USA,English,Canyon Prince,"Daniel Lusko, Canyon Prince",CronicLove Productions,"Emily Sweet, Jessica Chancellor, Tiana Tuttle, Brandon Root, Taylor Behrens, Cooper Hagen, Austin Skaggs, Emily Gateley, Philip Nathanael, Bai Ling, Dylan Holland, Narayana Cabral, Allen Quindiagan, Billy Smith, Robert Steven Brown","When an arcade manager realizes her brother has been transported into a dangerous video game, she and her two best friends follow him into the virtual world, battling dangerous creatures ...",3
Breakout,Breakout,2019,"Adventure, Comedy, Drama",58,UK,English,,Dan,Tycer Studios,"Arran, Dan, Leonie, Carl","Jerry with Freddy and Chica is trapped within the FNAF pizzeria. After Jerry finding out who his dad really was.. he's determined to save him, however not before the FNAF Security Service ...",9
12 Pups of Christmas,12 Pups of Christmas,2019,Romance,85,USA,English,Michael Feifer,Michael Feifer,Feifer Worldwide,"Charlotte Sullivan, Donny Boaz, Elizabeth Small, Philip Boyd, Jen Nikolaisen, Jeremy Ray Valdez, Kat Marie, April Hobson, Caia Coley, Thomas Bell, Kiana Tavasti, Eugenia Kuzmina, Rene Michelle Aranda, Jason Owsley, Mason McNulty","Recently single and starting a new job in a different city, Erin, a canine therapist, is getting a fresh start. But just when she thought her new life would be the reset she needed, her ...",4.8
City of Trees,City of Trees,2019,Romance,87,USA,English,Alexandra Swarens,Alexandra Swarens,,"Alexandra Swarens, Olivia Buckle, Joseph Miller, Tatiana Ivan, Kate McIntyre, Andrew V. Perkins","A 20 something woman goes back to her hometown for the holidays for the first time in several years and is not only met with people from her past, but she's forced to deal with unresolved ...",5.8
Christmas Cars,Christmas Cars,2019,Family,99,USA,English,John Schneider,John Schneider,Maven Entertainment,"Johnny Lee, Jeffrey Martorell, Lorelei Linklater, Jency Griffin Hogan, Scott Innes, Wayne Douglas Morgan, John Clark Packer, Mindy Robinson, Johnny Rock, Billy Slaughter, Paul Michael Starnes","Based on actual events, welcome to the lifestyles of the broke and famous. John Schneider wrote and directed this film as a tribute to the show that put him on the map in 1979. Follow Uncle...",2.4
My Little Pony: Equestria Girls - Holidays Unwrapped,My Little Pony: Equestria Girls - Holidays Unwrapped,2019,"Animation, Comedy, Family",44,"USA, Canada",English,"Katrina Hadley, Ishi Rudell",Anna Christopher,Allspark Animation,"Ashleigh Ball, Andrea Libman, Rebecca Shoichet, Tara Strong, Tabitha St. Germain, Richard Newman, Nicole Oliver, Vincent Tong, Richard Ian Cox, Kathleen Barr, Michael Dobson, Sam Vincent, Scott McNeil, Michelle Creber, Ryan Beil","Six short stories at Canterlot High interwove around the holiday season including a fake snow day, delivering a perfect soufflé, out-swindling the Flim Flam, children's toys, a last minute gift exchange and themed photograph.",5.6
I See You,I See You,2019,Thriller,78,USA,English,Andrew Schuth,"Andrew Schuth, Justin Stanley",,"Aaron Perilo, Toni Torres, Brian Kimmet, Benjamin J. Cain Jr., Catherine Chiarelli, Sean Corvelle, Alex D'Lerma, Brian T. Finney, Kaili Hollister, Malena Hougen, Brandon James, Matt Mann, Justin Meloni, Molly O'Neill, Johnny Santiago","A video blogger records his new relationship - but a series of disturbing murders are also captured on his camera, and the true identity of the killer is hidden - for now.",2.5
Stano,Stano,2019,Drama,111,USA,English,Raymond De Felitta,Robert Bruzio,Off the Chart Entertainment,"Joe Manganiello, Sofía Vergara, Denis O'Hare, Burt Young, Michael Rispoli, James Madio, Vincent Pastore, Dominik Garcia, Yancey Arias, Dominic Pace, Kathleen Butler, Michael Maize, Adina Galupa, Maria Di Angelis, Robbie DeRaffele","After serving 17 years in prison for a violent mistake he made in his youth, a once-aspiring baseball player returns to his Bronx neighborhood.",5.5
Clinton Road,Clinton Road,2019,Horror,77,,English,"Richard Grieco, Steve Stanulis","Noel Ashman, Derek Ross Mackay",Growing Tree Productions,"Ace Young, Erin O'Brien, Cody Calafiore, Katie Morrison, Lauren LaVera, James DeBello, Sarah Pribis, Vincent Pastore, Eric Roberts, Carlos Leon, Bo Dietl, Margo Urban, Ice-T, Derek Ross Mackay, Samantha Alcantara",A widowed firefighter seeks closure after his wife goes missing on an actual haunted road in rural New Jersey but must unlock the road's secret if he wants to get out alive.,5.4
Fisherman's Friends,Fisherman's Friends,2019,"Comedy, Drama, Family",112,UK,English,Chris Foggin,"Piers Ashworth, Meg Leonard",Fred Films,"James Purefoy, Meadow Nobrega, David Hayman, Maggie Steed, Sam Swainsbury, Dave Johns, Daniel Mays, Noel Clarke, Christian Brassington, Vahid Gold, Tuppence Middleton, Mae Voogd, Yuna Shin, Ken Drury, Nathan Outlaw",Ten fisherman from Cornwall are signed by Universal Records and achieve a top ten hit with their debut album of Sea Shanties.,6.9
SGT. Will Gardner,SGT. Will Gardner,2019,"Action, Adventure, Drama",125,USA,English,Max Martini,Max Martini,Mona Vista Productions,"Max Martini, Omari Hardwick, Lily Rabe, Robert Patrick, Elisabeth Röhm, Dermot Mulroney, Gary Sinise, JoBeth Williams, Luis Bordonada, Leo Martini, Holt McCallany, Georgina Lightning, Martin Palmer, Christopher Hagen, Jay DeMarcus",A troubled Iraq War veteran struggling to reintegrate into society sets out on a cross-country journey with the hope of reuniting with his young son.,5.9
The Song of Names,The Song of Names,2019,"Drama, Music, Mystery",113,"Canada, Hungary, UK, Germany",English,François Girard,"Jeffrey Caine, Norman Lebrecht",Serendipity Point Films,"Eddie Izzard, Gerran Howell, Stanley Townsend, Amy Sloan, Marina Hambro, István Fazekas, Tim Roth, Catherine McCormack, Steven Hillman, Sharon Percy, Eszter Lugosi, Áron Rátkay, Eszter Túrós, Annamária Makai, Viktoria Kay","Several years after his childhood friend, a violin prodigy, disappears on the eve of his first solo concert, an Englishman travels throughout Europe to find him.",6.3
Duke,Duke,2019,"Crime, Drama",107,USA,English,"Anthony Gaudioso, James Gaudioso",Anthony Gaudioso,Gaudioso Twins Films,"Carmine Giovinazzo, Hank Harris, Lesley-Ann Brandt, Vanessa Ferlito, Michael Irby, Anthony Gaudioso, James Gaudioso, Richard Portnow, Michael Bowen, Richard Roundtree, Fredro Starr, Liam McKanna, Luc Charbonnier, Andy Mackenzie, Maurice Benard","Duke is a modern day telling of a classic western film. Dare and Roost are brothers who have been raised in a reformatory, taught to survive and conditioned to trust no one. They have moved...",4.8
Art of Deception,Art of Deception,2019,"Action, Drama, Thriller",90,USA,English,Richard Ryan,"Richard Ryan, Michael Marcelin",Ox Films,"Anzu Lawson, Mark Sivertsen, Keenan Johnston, Micah Fitzgerald, Caroline Redekopp, Landall Goolsby, Jesse Janzen, Thomas R. Baker, Daniel Joo, Rich Paul, Scott duPont, Jackie Nova, Summer Still, Richard Ryan, Andrew Miller",A scientist studying a deadly virus must fight back when he and his wife are threatened by an organization intent on taking over the world.,3.5
The Haunting of Borley Rectory,The Haunting of Borley Rectory,2019,Horror,92,UK,English,Steven M. Smith,"Mark Behar, Christopher Jolley",Greenway Entertainment,"Zach Clifford, Rad Brown, Sonera Angel, Garry Roost, Kit Pascoe, Georgi Taylor Wills, Matt Rogers, Jon-Paul Gates, Mark Behar, Jimmy 'The Bee' Bennett, Anastasia Cane, Zane Casablanca, Paul Durso, Hans Hernke, Guy Robbins","The story of Borley Rectory, said to be the most haunted building in the world before it was mysteriously destroyed by fire just before WWII.",3.2
Dropa,Dropa,2019,"Drama, Sci-Fi, Thriller",101,USA,English,Wayne Slaten,Wayne Slaten,Gaucho Productions,"Jason Douglas, David Matranga, James Hong, Shayla Bagir, Jacob Reynolds, Michelle Ellen Jones, Julie Oliver-Touchstone, Uju Edoziem, Greg Dean, Matthew Carter, Emily Neves, Presley Fuentes, Christopher Colt Auld, Cinnamon Auld, Rosalind Branch-Muhammad",The hunt is on as a government assassin comes out of retirement to track down a killer extraterrestrial murdering the former members of his team in this science fiction thriller set in an alternate future America.,6.4
Zeroville,Zeroville,2019,"Comedy, Drama, Mystery",96,USA,English,James Franco,"Steve Erickson, Paul Felten",Patriot Pictures,"James Franco, Megan Fox, Seth Rogen, Joey King, Jacki Weaver, Dave Franco, Craig Robinson, Vince Jolivette, Scott Reed, Gus Van Sant, Danny McBride, Mike Starr, Marc-Edouard Leon, Nick Buda, Jack Kehler","A young ex-communicated seminarian, Ike ""Vikar"" Jerome, arrives in Los Angeles on the same August day in 1969 that a crazed hippie ''family'' led by Charles Manson commits five savage murders.",4.5
Random Acts of Violence,Random Acts of Violence,2019,Horror,80,USA,English,Jay Baruchel,"Jay Baruchel, Jesse Chabot",Elevation Pictures,"Jesse Williams, Jordana Brewster, Jay Baruchel, Simon Northwood, Niamh Wilson, Isaiah Rockcliffe, Clark Backo, Victoria Snow, Eric Osborne, Nia Roam, Aviva Mongillo, Wade MacNeil, Amir Sám Nakhjavani, Kyle Gatehouse, Mark Andrada",A pair of comic book writers begin to notice scary similarities between the character they created and horrific real-life events.,5.1
Pupazzi alla riscossa,UglyDolls,2019,"Animation, Adventure, Comedy",87,"China, Canada, USA, Thailand",English,Kelly Asbury,"Alison Peck, Robert Rodriguez",STX Entertainment,"Pitbull, Ice-T, Kelly Clarkson, Blake Shelton, Leehom Wang, Wanda Sykes, Gabriel Iglesias, Emma Roberts, Kelly Asbury, Jane Lynch, Natalie Martinez, Stephen Zimpel, Bebe Rexha, Charli XCX, Lizzo","An animated adventure in which the free-spirited UglyDolls confront what it means to be different, struggle with a desire to be loved, and ultimately discover who you truly are is what matters most.",5
Let It Snow - Innamorarsi sotto la neve,Let It Snow,2019,"Comedy, Romance",92,USA,English,Luke Snellin,"Laura Solon, Victoria Strouse",Dylan Clark Productions,"Isabela Merced, Shameik Moore, Odeya Rush, Liv Hewson, Mitchell Hope, Kiernan Shipka, Matthew Noszka, Jacob Batalon, Miles Robbins, Joan Cusack, Anna Akana, Genevieve DeGraves, Rebecca Ablack, Christina de la Cruz, Briar Nolet","In a small town on Christmas Eve, a snowstorm brings together a group of young people.",5.8
